onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-28.435	-0.001	0.022	24.364	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	0.977	-27.458	n/a	Welcome	n/a
-27.432	5.0	0.026	25.367	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-22.4	3.636	0.032	30.399	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	168.0	LifeHappiness	n/a
-22.4	3.379	n/a	30.656	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	168.0	LifeHappinessSliderResponse	n/a
-12.721	4.0	0.017	40.078	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-8.709	0.96	0.012	44.09	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	536.0	BlockStartHappiness	n/a
-8.709	0.195	n/a	44.855	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	536.0	BlockStartHappinessSliderResponse	n/a
-1.705	-0.001	0.026	51.094	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	1.69	-0.015	n/a	ScanWait	n/a
0.0	10.0	0.015	52.799	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	62.829	1.0	1	-3.0	-3.0	9.625	955.0	1.2	Certain	-0.1	-7.22	0.0	No	4.0	7.117780294450741	0.92	10.95	n/a	GetAnswer	Mixed
