onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-104.613	-0.001	0.021	57.365	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	9.721	-94.892	n/a	Welcome	n/a
-94.868	5.0	0.024	67.11	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-89.836	4.591	0.032	72.142	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	744.0	LifeHappiness	n/a
-89.835	0.765	n/a	75.969	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	744.0	LifeHappinessSliderResponse	n/a
-74.323	4.0	0.026	87.655	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-70.311	1.026	0.012	91.667	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	576.0	BlockStartHappiness	n/a
-70.31	0.287	n/a	92.407	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	576.0	BlockStartHappinessSliderResponse	n/a
-4.664	-0.001	0.022	157.314	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	4.634	-0.03	n/a	ScanWait	n/a
0.0	10.0	0.03	161.978	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	172.008	1.0	1	1.5	-1.0	10.1875	955.0	0.82	Outcome2	-4.94	1.5	0.0	No	2.0	6.43827859569649	1.928	11.958	n/a	GetAnswer	Mixed
11.986	4.0	0.028	173.964	1.0	1	1.5	-1.0	10.1875	955.0	0.82	Outcome2	-4.94	1.5	0.0	No	n/a	6.43827859569649	n/a	n/a	n/a	ShowChoice	Mixed
16.014	1.0	0.028	177.992	1.0	1	1.5	-1.0	10.1875	955.0	0.82	Outcome2	-4.94	1.5	0.0	No	n/a	6.43827859569649	n/a	n/a	n/a	ShowResult	Mixed
17.034	2.431	0.02	179.012	1.0	1	1.5	-1.0	10.1875	955.0	0.82	Outcome2	-4.94	1.5	0.0	No	n/a	6.43827859569649	n/a	n/a	n/a	ISITrial	Mixed
19.491	3.0	0.026	181.469	2.0	1	5.26	5.26	10.845	955.0	4.2	Certain	12.1	10.53	0.0	No	4.0	-1.5738014345035902	0.72	20.211	n/a	GetAnswer	Loss
20.227	4.0	0.016	182.205	2.0	1	5.26	5.26	10.845	955.0	4.2	Certain	12.1	10.53	0.0	No	n/a	-1.5738014345035902	n/a	n/a	n/a	ShowChoice	Loss
