onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-46.723	-0.001	0.022	28.714	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.532	-43.191	n/a	Welcome	n/a
-43.163	5.0	0.028	32.274	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-38.131	2.717	0.032	37.306	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	728.0	LifeHappiness	n/a
-38.13	2.091	n/a	37.933	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	728.0	LifeHappinessSliderResponse	n/a
-25.744	4.0	0.023	49.693	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-21.732	1.461	0.012	53.705	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	736.0	BlockStartHappiness	n/a
-21.731	1.45	n/a	53.717	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	736.0	BlockStartHappinessSliderResponse	n/a
-10.649	-0.001	0.014	64.788	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	10.634	-0.015	n/a	ScanWait	n/a
0.0	10.0	0.015	75.437	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	85.467	1.0	1	2.5	0.0	10.3125	955.0	0.2	Outcome2	-1.22	2.5	0.0	No	2.0	3.7202718006795	1.86	11.89	n/a	GetAnswer	Mixed
11.902	4.0	0.012	87.339	1.0	1	2.5	0.0	10.3125	955.0	0.2	Outcome2	-1.22	2.5	0.0	No	n/a	3.7202718006795	n/a	n/a	n/a	ShowChoice	Mixed
15.914	1.0	0.012	91.351	1.0	1	2.5	0.0	10.3125	955.0	0.2	Outcome2	-1.22	2.5	0.0	No	n/a	3.7202718006795	n/a	n/a	n/a	ShowResult	Mixed
16.934	2.431	0.02	92.371	1.0	1	2.5	0.0	10.3125	955.0	0.2	Outcome2	-1.22	2.5	0.0	No	n/a	3.7202718006795	n/a	n/a	n/a	ISITrial	Mixed
19.391	3.0	0.026	94.828	2.0	1	12.1	4.07	11.825	955.0	4.2	Outcome1	12.1	8.13	0.0	No	2.0	3.9682899207248	1.506	20.897	n/a	GetAnswer	Loss
20.912	4.0	0.015	96.349	2.0	1	12.1	4.07	11.825	955.0	4.2	Outcome1	12.1	8.13	0.0	No	n/a	3.9682899207248	n/a	n/a	n/a	ShowChoice	Loss
24.924	1.0	0.012	100.361	2.0	1	12.1	4.07	11.825	955.0	4.2	Outcome1	12.1	8.13	0.0	No	n/a	3.9682899207248	n/a	n/a	n/a	ShowResult	Loss
25.944	4.568	0.02	101.381	2.0	1	12.1	4.07	11.825	955.0	4.2	Outcome1	12.1	8.13	0.0	No	n/a	3.9682899207248	n/a	n/a	n/a	ISITrial	Loss
30.541	3.0	0.029	105.978	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	2.0	4.216308040770101	1.292	31.833	n/a	GetAnswer	Gain
31.845	4.0	0.012	107.282	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	n/a	4.216308040770101	n/a	n/a	n/a	ShowChoice	Gain
35.857	1.0	0.012	111.294	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	n/a	4.216308040770101	n/a	n/a	n/a	ShowResult	Gain
36.877	3.243	0.02	112.314	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	n/a	4.216308040770101	n/a	n/a	n/a	ISITrial	Gain
40.137	2.868	0.017	115.574	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	n/a	4.216308040770101	n/a	n/a	n/a	TrialHappPreview	Gain
43.029	4.012	0.024	118.466	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	n/a	4.216308040770101	n/a	n/a	752.0	TrialHappiness	Gain
43.029	2.869	n/a	118.898	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	n/a	4.216308040770101	n/a	n/a	752.0	TrialHappinessSliderResponse	Gain
47.041	3.472	4.012	122.478	3.0	1	6.5	1.14	12.6375	955.0	1.68	Outcome2	2.28	6.5	2.868	Yes	n/a	4.216308040770101	n/a	n/a	n/a	ISIRate	Gain
