onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-27.802	-0.001	0.019	51.052	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	1.362	-26.44	n/a	Welcome	n/a
-26.412	5.0	0.028	52.442	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-21.38	4.672	0.032	57.474	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	744.0	LifeHappiness	n/a
-21.38	3.701	n/a	58.445	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	744.0	LifeHappinessSliderResponse	n/a
-14.092	4.0	0.028	64.762	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-10.08	2.443	0.012	68.774	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	628.0	BlockStartHappiness	n/a
-10.079	1.86	n/a	69.358	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	628.0	BlockStartHappinessSliderResponse	n/a
-4.48	-0.001	0.024	74.374	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	4.458	-0.022	n/a	ScanWait	n/a
0.0	10.0	0.022	78.854	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	88.884	1.0	1	3.3	0.0	10.4125	955.0	0.66	Outcome2	-2.25	3.3	0.0	No	2.0	5.5549263873159695	1.696	11.726	n/a	GetAnswer	Mixed
11.752	4.0	0.026	90.606	1.0	1	3.3	0.0	10.4125	955.0	0.66	Outcome2	-2.25	3.3	0.0	No	n/a	5.5549263873159695	n/a	n/a	n/a	ShowChoice	Mixed
15.764	1.0	0.012	94.618	1.0	1	3.3	0.0	10.4125	955.0	0.66	Outcome2	-2.25	3.3	0.0	No	n/a	5.5549263873159695	n/a	n/a	n/a	ShowResult	Mixed
16.784	2.431	0.02	95.638	1.0	1	3.3	0.0	10.4125	955.0	0.66	Outcome2	-2.25	3.3	0.0	No	n/a	5.5549263873159695	n/a	n/a	n/a	ISITrial	Mixed
19.241	3.0	0.026	98.095	2.0	1	9.14	4.57	11.555	955.0	1.68	Outcome2	10.5	9.14	0.0	No	2.0	-1.35787089467724	1.783	21.024	n/a	GetAnswer	Loss
21.046	4.0	0.022	99.9	2.0	1	9.14	4.57	11.555	955.0	1.68	Outcome2	10.5	9.14	0.0	No	n/a	-1.35787089467724	n/a	n/a	n/a	ShowChoice	Loss
25.058	1.0	0.012	103.912	2.0	1	9.14	4.57	11.555	955.0	1.68	Outcome2	10.5	9.14	0.0	No	n/a	-1.35787089467724	n/a	n/a	n/a	ShowResult	Loss
26.078	4.568	0.02	104.932	2.0	1	9.14	4.57	11.555	955.0	1.68	Outcome2	10.5	9.14	0.0	No	n/a	-1.35787089467724	n/a	n/a	n/a	ISITrial	Loss
30.675	3.0	0.029	109.529	3.0	1	-1.89	-1.0	11.3188	955.0	0.82	Outcome1	-1.89	-0.5	2.868	Yes	n/a	-1.38873159682899	n/a	n/a	n/a	GetAnswer	Mixed
