onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-43.316	-0.001	0.019	21.381	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.566	-39.75	n/a	Welcome	n/a
-39.719	5.0	0.031	24.978	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-34.687	2.464	0.032	30.01	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	896.0	LifeHappiness	n/a
-34.686	1.854	n/a	30.621	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	896.0	LifeHappinessSliderResponse	n/a
-15.847	4.0	0.015	48.85	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-11.835	1.71	0.012	52.862	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2{-2}2{-2}	n/a	1.71	-10.125	712.0	BlockStartHappiness	n/a
-11.835	1.217	n/a	53.355	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	712.0	BlockStartHappinessSliderResponse	n/a
-5.633	-0.001	0.022	59.064	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	5.616	-0.017	n/a	ScanWait	n/a
0.0	10.0	0.017	64.697	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	74.727	1.0	1	9.9	2.88	11.2375	955.0	3.6	Outcome1	9.9	5.77	0.0	No	2.0	4.127972819932049	1.51	11.54	n/a	GetAnswer	Gain
11.568	4.0	0.028	76.265	1.0	1	9.9	2.88	11.2375	955.0	3.6	Outcome1	9.9	5.77	0.0	No	n/a	4.127972819932049	n/a	n/a	n/a	ShowChoice	Gain
15.597	1.0	0.029	80.294	1.0	1	9.9	2.88	11.2375	955.0	3.6	Outcome1	9.9	5.77	0.0	No	n/a	4.127972819932049	n/a	n/a	n/a	ShowResult	Gain
16.616	2.431	0.019	81.313	1.0	1	9.9	2.88	11.2375	955.0	3.6	Outcome1	9.9	5.77	0.0	No	n/a	4.127972819932049	n/a	n/a	n/a	ISITrial	Gain
19.074	3.0	0.027	83.771	2.0	1	-3.0	-3.0	10.8625	955.0	0.52	Certain	-5.3	-0.9	0.0	No	4.0	4.40317100792752	2.312	21.386	n/a	GetAnswer	Mixed
21.414	4.0	0.028	86.111	2.0	1	-3.0	-3.0	10.8625	955.0	0.52	Certain	-5.3	-0.9	0.0	No	n/a	4.40317100792752	n/a	n/a	n/a	ShowChoice	Mixed
25.443	1.0	0.029	90.14	2.0	1	-3.0	-3.0	10.8625	955.0	0.52	Certain	-5.3	-0.9	0.0	No	n/a	4.40317100792752	n/a	n/a	n/a	ShowResult	Mixed
26.463	4.568	0.02	91.16	2.0	1	-3.0	-3.0	10.8625	955.0	0.52	Certain	-5.3	-0.9	0.0	No	n/a	4.40317100792752	n/a	n/a	n/a	ISITrial	Mixed
31.06	3.0	0.029	95.757	3.0	1	5.27	2.64	11.5213	955.0	5.0	Outcome1	5.27	6.3	2.868	Yes	2.0	-1.03199320498301	1.296	32.356	n/a	GetAnswer	Gain
32.38	4.0	0.024	97.077	3.0	1	5.27	2.64	11.5213	955.0	5.0	Outcome1	5.27	6.3	2.868	Yes	n/a	-1.03199320498301	n/a	n/a	n/a	ShowChoice	Gain
