onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-36.388	-0.001	0.027	22.265	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.0	n/a	1.121	-35.267	n/a	Welcome	n/a
-35.238	5.0	0.029	23.415	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-30.207	3.057	0.031	28.446	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	368.0	LifeHappiness	n/a
-30.206	2.638	n/a	28.866	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	368.0	LifeHappinessSliderResponse	n/a
-22.826	4.0	0.017	35.827	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-18.811	2.206	0.015	39.842	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	352.0	BlockStartHappiness	n/a
-18.81	1.959	n/a	40.09	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	352.0	BlockStartHappinessSliderResponse	n/a
-1.7	-0.001	0.022	56.953	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	1.686	-0.014	n/a	ScanWait	n/a
0.0	10.0	0.014	58.653	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	68.683	1.0	1	2.12	2.12	10.265	955.0	1.82	Certain	6.7	4.25	0.0	No	4.0	-2.44705549263873	0.756	10.786	n/a	GetAnswer	Gain
10.813	4.0	0.027	69.466	1.0	1	2.12	2.12	10.265	955.0	1.82	Certain	6.7	4.25	0.0	No	n/a	-2.44705549263873	n/a	n/a	n/a	ShowChoice	Gain
14.828	1.0	0.015	73.481	1.0	1	2.12	2.12	10.265	955.0	1.82	Certain	6.7	4.25	0.0	No	n/a	-2.44705549263873	n/a	n/a	n/a	ShowResult	Gain
