onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-51.438	-0.001	0.039	39.256	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	4.862	-46.576	n/a	Welcome	n/a
-46.54	5.0	0.036	44.154	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-41.508	4.951	0.032	49.186	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappiness	n/a
-41.507	4.441	n/a	49.697	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappinessSliderResponse	n/a
-27.282	4.0	0.023	63.412	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-23.27	2.061	0.012	67.424	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	BlockStartHappiness	n/a
-23.269	1.989	n/a	67.497	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	BlockStartHappinessSliderResponse	n/a
-10.147	-0.001	0.013	80.547	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	10.122	-0.025	n/a	ScanWait	n/a
0.0	10.0	0.025	90.694	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	100.724	1.0	1	3.9	1.92	10.4875	955.0	1.2	Outcome2	3.85	3.9	0.0	No	2.0	0.0509626274065685	1.308	11.338	n/a	GetAnswer	Mixed
11.35	4.0	0.012	102.044	1.0	1	3.9	1.92	10.4875	955.0	1.2	Outcome2	3.85	3.9	0.0	No	n/a	0.0509626274065685	n/a	n/a	n/a	ShowChoice	Mixed
15.362	1.0	0.012	106.056	1.0	1	3.9	1.92	10.4875	955.0	1.2	Outcome2	3.85	3.9	0.0	No	n/a	0.0509626274065685	n/a	n/a	n/a	ShowResult	Mixed
16.382	2.431	0.02	107.076	1.0	1	3.9	1.92	10.4875	955.0	1.2	Outcome2	3.85	3.9	0.0	No	n/a	0.0509626274065685	n/a	n/a	n/a	ISITrial	Mixed
18.84	3.0	0.027	109.534	2.0	1	4.49	2.24	11.0487	955.0	1.68	Outcome2	4.5	4.49	0.0	No	2.0	-0.0124575311438279	1.201	20.041	n/a	GetAnswer	Gain
20.06	4.0	0.019	110.754	2.0	1	4.49	2.24	11.0487	955.0	1.68	Outcome2	4.5	4.49	0.0	No	n/a	-0.0124575311438279	n/a	n/a	n/a	ShowChoice	Gain
24.072	1.0	0.012	114.766	2.0	1	4.49	2.24	11.0487	955.0	1.68	Outcome2	4.5	4.49	0.0	No	n/a	-0.0124575311438279	n/a	n/a	n/a	ShowResult	Gain
25.092	4.568	0.02	115.786	2.0	1	4.49	2.24	11.0487	955.0	1.68	Outcome2	4.5	4.49	0.0	No	n/a	-0.0124575311438279	n/a	n/a	n/a	ISITrial	Gain
29.689	3.0	0.029	120.383	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	4.0	-0.0127406568516421	2.301	31.99	n/a	GetAnswer	Mixed
32.012	4.0	0.022	122.706	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	n/a	-0.0127406568516421	n/a	n/a	n/a	ShowChoice	Mixed
36.024	1.0	0.012	126.718	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	n/a	-0.0127406568516421	n/a	n/a	n/a	ShowResult	Mixed
37.044	3.243	0.02	127.738	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	n/a	-0.0127406568516421	n/a	n/a	n/a	ISITrial	Mixed
40.304	2.868	0.017	130.998	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	n/a	-0.0127406568516421	n/a	n/a	n/a	TrialHappPreview	Mixed
43.196	4.029	0.024	133.89	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	n/a	-0.0127406568516421	n/a	n/a	952.0	TrialHappiness	Mixed
43.197	1.783	n/a	134.136	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	n/a	-0.0127406568516421	n/a	n/a	952.0	TrialHappinessSliderResponse	Mixed
47.225	3.472	4.029	137.919	3.0	1	0.0	0.0	11.0487	955.0	0.82	Certain	-0.5	-0.51	2.868	Yes	n/a	-0.0127406568516421	n/a	n/a	n/a	ISIRate	Mixed
50.718	3.0	0.021	141.412	4.0	1	0.5	0.0	11.1112	955.0	0.2	Outcome2	0.44	0.5	0.0	No	2.0	0.0611551528878822	1.177	51.895	n/a	GetAnswer	Mixed
51.922	4.0	0.027	142.616	4.0	1	0.5	0.0	11.1112	955.0	0.2	Outcome2	0.44	0.5	0.0	No	n/a	0.0611551528878822	n/a	n/a	n/a	ShowChoice	Mixed
55.951	1.0	0.029	146.645	4.0	1	0.5	0.0	11.1112	955.0	0.2	Outcome2	0.44	0.5	0.0	No	n/a	0.0611551528878822	n/a	n/a	n/a	ShowResult	Mixed
56.971	2.011	0.02	147.665	4.0	1	0.5	0.0	11.1112	955.0	0.2	Outcome2	0.44	0.5	0.0	No	n/a	0.0611551528878822	n/a	n/a	n/a	ISITrial	Mixed
59.01	3.0	0.028	149.704	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	2.0	-0.0133069082672707	1.149	60.159	n/a	GetAnswer	Mixed
60.18	4.0	0.02	150.874	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	n/a	-0.0133069082672707	n/a	n/a	n/a	ShowChoice	Mixed
64.209	1.0	0.029	154.903	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	n/a	-0.0133069082672707	n/a	n/a	n/a	ShowResult	Mixed
65.229	5.129	0.02	155.923	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	n/a	-0.0133069082672707	n/a	n/a	n/a	ISITrial	Mixed
70.377	2.582	0.019	161.071	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	n/a	-0.0133069082672707	n/a	n/a	n/a	TrialHappPreview	Mixed
72.985	4.029	0.026	163.679	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	n/a	-0.0133069082672707	n/a	n/a	952.0	TrialHappiness	Mixed
72.986	1.551	n/a	164.082	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	n/a	-0.0133069082672707	n/a	n/a	952.0	TrialHappinessSliderResponse	Mixed
77.014	2.33	4.029	167.708	5.0	1	2.49	2.0	11.4225	955.0	0.2	Outcome1	2.49	2.5	2.5825	Yes	n/a	-0.0133069082672707	n/a	n/a	n/a	ISIRate	Mixed
79.371	3.0	0.027	170.065	6.0	1	9.09	4.54	12.5587	955.0	2.22	Outcome2	9.1	9.09	0.0	No	2.0	-0.0135900339750849	0.843	80.214	n/a	GetAnswer	Gain
80.24	4.0	0.026	170.934	6.0	1	9.09	4.54	12.5587	955.0	2.22	Outcome2	9.1	9.09	0.0	No	n/a	-0.0135900339750849	n/a	n/a	n/a	ShowChoice	Gain
84.269	1.0	0.029	174.963	6.0	1	9.09	4.54	12.5587	955.0	2.22	Outcome2	9.1	9.09	0.0	No	n/a	-0.0135900339750849	n/a	n/a	n/a	ShowResult	Gain
85.289	6.232	0.02	175.983	6.0	1	9.09	4.54	12.5587	955.0	2.22	Outcome2	9.1	9.09	0.0	No	n/a	-0.0135900339750849	n/a	n/a	n/a	ISITrial	Gain
91.541	3.0	0.02	182.235	7.0	1	8.7	4.32	13.6462	955.0	1.82	Outcome1	8.7	8.63	0.0	No	2.0	0.0713476783691959	0.858	92.399	n/a	GetAnswer	Gain
