onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-30.658	-0.001	0.022	46.152	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.844	-26.814	n/a	Welcome	n/a
-26.78	5.0	0.034	50.03	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-21.748	4.004	0.032	55.062	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	624.0	LifeHappiness	n/a
-21.748	3.289	n/a	55.777	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	624.0	LifeHappinessSliderResponse	n/a
-11.969	4.0	0.029	64.841	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-7.957	2.816	0.012	68.853	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	704.0	BlockStartHappiness	n/a
-7.957	2.325	n/a	69.344	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	704.0	BlockStartHappinessSliderResponse	n/a
-1.655	-0.001	0.023	75.155	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	1.642	-0.013	n/a	ScanWait	n/a
0.0	10.0	0.013	76.81	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	86.84	1.0	1	7.88	3.94	10.985	955.0	2.0	Outcome1	7.88	8.9	0.0	No	2.0	-1.0185919214798	1.749	11.779	n/a	GetAnswer	Gain
11.802	4.0	0.023	88.612	1.0	1	7.88	3.94	10.985	955.0	2.0	Outcome1	7.88	8.9	0.0	No	n/a	-1.0185919214798	n/a	n/a	n/a	ShowChoice	Gain
15.814	1.0	0.012	92.624	1.0	1	7.88	3.94	10.985	955.0	2.0	Outcome1	7.88	8.9	0.0	No	n/a	-1.0185919214798	n/a	n/a	n/a	ShowResult	Gain
