onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-46.305	-0.001	0.02	23.484	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	4.145	-42.16	n/a	Welcome	n/a
-42.143	5.0	0.017	27.646	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-37.111	1.362	0.032	32.678	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	888.0	LifeHappiness	n/a
-37.11	0.941	n/a	33.1	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	888.0	LifeHappinessSliderResponse	n/a
-19.893	4.0	0.02	49.896	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-15.881	3.116	0.012	53.908	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	824.0	BlockStartHappiness	n/a
-15.88	2.046	n/a	54.979	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	824.0	BlockStartHappinessSliderResponse	n/a
-5.834	-0.001	0.023	63.955	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	5.818	-0.016	n/a	ScanWait	n/a
0.0	10.0	0.016	69.789	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	79.819	1.0	1	2.5	1.0	10.3125	955.0	0.2	Outcome2	0.27	2.5	0.0	No	2.0	2.22536806342016	0.804	10.834	n/a	GetAnswer	Mixed
