onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-51.694	-0.001	0.033	34.838	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	7.265	-44.429	n/a	Welcome	n/a
-44.399	5.0	0.03	42.133	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-39.368	4.037	0.031	47.164	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	736.0	LifeHappiness	n/a
-39.367	3.188	n/a	48.014	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	736.0	LifeHappinessSliderResponse	n/a
-18.522	4.0	0.019	68.01	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-14.51	1.647	0.012	72.022	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	532.0	BlockStartHappiness	n/a
-14.509	0.145	n/a	73.525	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	532.0	BlockStartHappinessSliderResponse	n/a
-2.875	-0.001	0.019	83.657	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	2.862	-0.013	n/a	ScanWait	n/a
0.0	10.0	0.013	86.532	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	96.562	1.0	1	5.18	2.59	10.6475	955.0	2.0	Outcome2	6.9	5.18	0.0	No	2.0	-1.71659116647792	1.411	11.441	n/a	GetAnswer	Gain
11.468	4.0	0.027	98.0	1.0	1	5.18	2.59	10.6475	955.0	2.0	Outcome2	6.9	5.18	0.0	No	n/a	-1.71659116647792	n/a	n/a	n/a	ShowChoice	Gain
15.48	1.0	0.012	102.012	1.0	1	5.18	2.59	10.6475	955.0	2.0	Outcome2	6.9	5.18	0.0	No	n/a	-1.71659116647792	n/a	n/a	n/a	ShowResult	Gain
16.5	2.431	0.02	103.032	1.0	1	5.18	2.59	10.6475	955.0	2.0	Outcome2	6.9	5.18	0.0	No	n/a	-1.71659116647792	n/a	n/a	n/a	ISITrial	Gain
18.957	3.0	0.026	105.489	2.0	1	-1.0	-1.0	10.5225	955.0	1.0	Certain	-2.06	-0.3	0.0	No	4.0	-1.75651189127973	2.086	21.043	n/a	GetAnswer	Mixed
21.063	4.0	0.02	107.595	2.0	1	-1.0	-1.0	10.5225	955.0	1.0	Certain	-2.06	-0.3	0.0	No	n/a	-1.75651189127973	n/a	n/a	n/a	ShowChoice	Mixed
25.075	1.0	0.012	111.607	2.0	1	-1.0	-1.0	10.5225	955.0	1.0	Certain	-2.06	-0.3	0.0	No	n/a	-1.75651189127973	n/a	n/a	n/a	ShowResult	Mixed
26.095	4.568	0.02	112.627	2.0	1	-1.0	-1.0	10.5225	955.0	1.0	Certain	-2.06	-0.3	0.0	No	n/a	-1.75651189127973	n/a	n/a	n/a	ISITrial	Mixed
30.692	3.0	0.029	117.224	3.0	1	8.5	4.25	11.585	955.0	5.0	Outcome1	8.5	10.3	2.868	Yes	2.0	-1.79643261608154	1.286	31.978	n/a	GetAnswer	Gain
31.996	4.0	0.018	118.528	3.0	1	8.5	4.25	11.585	955.0	5.0	Outcome1	8.5	10.3	2.868	Yes	n/a	-1.79643261608154	n/a	n/a	n/a	ShowChoice	Gain
36.008	1.0	0.012	122.54	3.0	1	8.5	4.25	11.585	955.0	5.0	Outcome1	8.5	10.3	2.868	Yes	n/a	-1.79643261608154	n/a	n/a	n/a	ShowResult	Gain
37.028	3.243	0.02	123.56	3.0	1	8.5	4.25	11.585	955.0	5.0	Outcome1	8.5	10.3	2.868	Yes	n/a	-1.79643261608154	n/a	n/a	n/a	ISITrial	Gain
