onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-38.816	-0.001	0.088	18.551	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	1.492	-37.324	n/a	Welcome	n/a
-37.295	5.0	0.029	20.072	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-32.263	3.467	0.032	25.104	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	880.0	LifeHappiness	n/a
-32.263	2.891	n/a	25.68	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	880.0	LifeHappinessSliderResponse	n/a
-14.159	4.0	0.014	43.208	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-10.147	1.091	0.012	47.22	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2{-2}	n/a	1.091	-9.056	840.0	BlockStartHappiness	n/a
-10.147	0.828	n/a	47.483	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	840.0	BlockStartHappinessSliderResponse	n/a
-3.511	-0.001	0.022	53.856	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	3.499	-0.012	n/a	ScanWait	n/a
0.0	10.0	0.012	57.367	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	67.397	1.0	1	0.9	0.0	10.1125	955.0	0.4	Outcome1	0.9	-1.05	0.0	No	2.0	1.95356738391846	1.568	11.598	n/a	GetAnswer	Mixed
11.618	4.0	0.02	68.985	1.0	1	0.9	0.0	10.1125	955.0	0.4	Outcome1	0.9	-1.05	0.0	No	n/a	1.95356738391846	n/a	n/a	n/a	ShowChoice	Mixed
15.63	1.0	0.012	72.997	1.0	1	0.9	0.0	10.1125	955.0	0.4	Outcome1	0.9	-1.05	0.0	No	n/a	1.95356738391846	n/a	n/a	n/a	ShowResult	Mixed
16.649	2.431	0.019	74.016	1.0	1	0.9	0.0	10.1125	955.0	0.4	Outcome1	0.9	-1.05	0.0	No	n/a	1.95356738391846	n/a	n/a	n/a	ISITrial	Mixed
19.107	3.0	0.027	76.474	2.0	1	2.0	2.0	10.3625	955.0	0.52	Certain	3.1	1.02	0.0	No	4.0	2.08380520951302	0.888	19.995	n/a	GetAnswer	Mixed
20.01	4.0	0.015	77.377	2.0	1	2.0	2.0	10.3625	955.0	0.52	Certain	3.1	1.02	0.0	No	n/a	2.08380520951302	n/a	n/a	n/a	ShowChoice	Mixed
24.038	1.0	0.028	81.405	2.0	1	2.0	2.0	10.3625	955.0	0.52	Certain	3.1	1.02	0.0	No	n/a	2.08380520951302	n/a	n/a	n/a	ShowResult	Mixed
25.058	4.568	0.02	82.425	2.0	1	2.0	2.0	10.3625	955.0	0.52	Certain	3.1	1.02	0.0	No	n/a	2.08380520951302	n/a	n/a	n/a	ISITrial	Mixed
29.655	3.0	0.029	87.022	3.0	1	13.01	6.5	11.9887	955.0	2.8	Outcome1	13.01	13.5	2.868	Yes	2.0	-0.488391845979615	0.989	30.644	n/a	GetAnswer	Loss
30.658	4.0	0.014	88.025	3.0	1	13.01	6.5	11.9887	955.0	2.8	Outcome1	13.01	13.5	2.868	Yes	n/a	-0.488391845979615	n/a	n/a	n/a	ShowChoice	Loss
