onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-26.579	-0.001	0.02	11.345	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	2.493	-24.086	n/a	Welcome	n/a
-24.072	5.0	0.014	13.852	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-18.99	1.429	0.082	18.934	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	880.0	LifeHappiness	n/a
-18.989	0.906	n/a	19.458	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	880.0	LifeHappinessSliderResponse	n/a
-12.353	4.0	0.028	25.571	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-8.341	3.568	0.012	29.583	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	872.0	BlockStartHappiness	n/a
-8.341	2.43	n/a	30.721	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	872.0	BlockStartHappinessSliderResponse	n/a
-1.17	-0.001	0.02	36.754	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	1.156	-0.014	n/a	ScanWait	n/a
0.0	10.0	0.014	37.924	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	47.954	1.0	1	4.5	1.54	10.5625	955.0	1.68	Outcome1	4.5	3.09	0.0	No	2.0	1.40996602491506	0.965	10.995	n/a	GetAnswer	Gain
