onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-46.105	-0.001	0.021	18.018	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	4.07	-42.035	n/a	Welcome	n/a
-42.009	5.0	0.026	22.114	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-36.978	1.127	0.031	27.145	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	776.0	LifeHappiness	n/a
-36.977	0.698	n/a	27.575	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	776.0	LifeHappinessSliderResponse	n/a
-19.174	4.0	0.013	44.949	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-15.162	2.539	0.012	48.961	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	740.0	BlockStartHappiness	n/a
-15.161	2.119	n/a	49.382	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	740.0	BlockStartHappinessSliderResponse	n/a
-4.213	-0.001	0.015	59.91	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	4.199	-0.014	n/a	ScanWait	n/a
0.0	10.0	0.014	64.123	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.013	3.0	0.013	74.136	1.0	1	0.23	0.0	10.0288	955.0	0.52	Outcome2	1.1	0.23	0.0	No	2.0	-0.872499056247641	1.14	11.153	n/a	GetAnswer	Mixed
11.167	4.0	0.014	75.29	1.0	1	0.23	0.0	10.0288	955.0	0.52	Outcome2	1.1	0.23	0.0	No	n/a	-0.872499056247641	n/a	n/a	n/a	ShowChoice	Mixed
15.179	1.0	0.012	79.302	1.0	1	0.23	0.0	10.0288	955.0	0.52	Outcome2	1.1	0.23	0.0	No	n/a	-0.872499056247641	n/a	n/a	n/a	ShowResult	Mixed
16.199	2.431	0.02	80.322	1.0	1	0.23	0.0	10.0288	955.0	0.52	Outcome2	1.1	0.23	0.0	No	n/a	-0.872499056247641	n/a	n/a	n/a	ISITrial	Mixed
18.656	3.0	0.026	82.779	2.0	1	-3.0	-3.0	9.6538	955.0	0.4	Certain	-5.0	-1.1	0.0	No	4.0	3.89580973952435	2.077	20.733	n/a	GetAnswer	Mixed
20.746	4.0	0.013	84.869	2.0	1	-3.0	-3.0	9.6538	955.0	0.4	Certain	-5.0	-1.1	0.0	No	n/a	3.89580973952435	n/a	n/a	n/a	ShowChoice	Mixed
24.758	1.0	0.012	88.881	2.0	1	-3.0	-3.0	9.6538	955.0	0.4	Certain	-5.0	-1.1	0.0	No	n/a	3.89580973952435	n/a	n/a	n/a	ShowResult	Mixed
25.777	4.568	0.019	89.9	2.0	1	-3.0	-3.0	9.6538	955.0	0.4	Certain	-5.0	-1.1	0.0	No	n/a	3.89580973952435	n/a	n/a	n/a	ISITrial	Mixed
30.375	3.0	0.03	94.498	3.0	1	-2.0	-2.0	9.4038	955.0	0.3	Certain	-2.21	-1.3	2.868	Yes	4.0	-0.9130804077010192	1.542	31.917	n/a	GetAnswer	Mixed
31.929	4.0	0.012	96.052	3.0	1	-2.0	-2.0	9.4038	955.0	0.3	Certain	-2.21	-1.3	2.868	Yes	n/a	-0.9130804077010192	n/a	n/a	n/a	ShowChoice	Mixed
