onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-86.21	-0.001	0.018	35.356	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	2.284	-83.926	n/a	Welcome	n/a
-83.9	5.0	0.026	37.666	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-78.869	4.946	0.031	42.697	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	704.0	LifeHappiness	n/a
-78.868	2.762	n/a	44.882	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	704.0	LifeHappinessSliderResponse	n/a
-60.414	4.0	0.024	61.152	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-56.402	1.027	0.012	65.164	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	560.0	BlockStartHappiness	n/a
-56.401	0.244	n/a	65.948	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	560.0	BlockStartHappinessSliderResponse	n/a
-2.775	-0.001	0.017	118.791	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	2.749	-0.026	n/a	ScanWait	n/a
0.0	10.0	0.026	121.566	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	131.596	1.0	1	0.0	0.0	10.0	955.0	0.3	Certain	-4.01	2.7	0.0	No	4.0	6.71007927519819	2.904	12.934	n/a	GetAnswer	Mixed
12.956	4.0	0.022	134.522	1.0	1	0.0	0.0	10.0	955.0	0.3	Certain	-4.01	2.7	0.0	No	n/a	6.71007927519819	n/a	n/a	n/a	ShowChoice	Mixed
16.985	1.0	0.029	138.551	1.0	1	0.0	0.0	10.0	955.0	0.3	Certain	-4.01	2.7	0.0	No	n/a	6.71007927519819	n/a	n/a	n/a	ShowResult	Mixed
18.004	2.431	0.019	139.57	1.0	1	0.0	0.0	10.0	955.0	0.3	Certain	-4.01	2.7	0.0	No	n/a	6.71007927519819	n/a	n/a	n/a	ISITrial	Mixed
20.462	3.0	0.027	142.028	2.0	1	-3.0	-3.0	9.625	955.0	1.2	Certain	-7.26	-0.1	0.0	No	4.0	7.15741789354473	2.699	23.161	n/a	GetAnswer	Mixed
23.186	4.0	0.025	144.752	2.0	1	-3.0	-3.0	9.625	955.0	1.2	Certain	-7.26	-0.1	0.0	No	n/a	7.15741789354473	n/a	n/a	n/a	ShowChoice	Mixed
27.198	1.0	0.012	148.764	2.0	1	-3.0	-3.0	9.625	955.0	1.2	Certain	-7.26	-0.1	0.0	No	n/a	7.15741789354473	n/a	n/a	n/a	ShowResult	Mixed
28.218	4.568	0.02	149.784	2.0	1	-3.0	-3.0	9.625	955.0	1.2	Certain	-7.26	-0.1	0.0	No	n/a	7.15741789354473	n/a	n/a	n/a	ISITrial	Mixed
32.815	3.0	0.029	154.381	3.0	1	6.7	-0.45	10.4625	955.0	1.82	Outcome2	-0.9	6.7	2.868	Yes	2.0	7.60475651189128	1.974	34.789	n/a	GetAnswer	Gain
34.821	4.0	0.032	156.387	3.0	1	6.7	-0.45	10.4625	955.0	1.82	Outcome2	-0.9	6.7	2.868	Yes	n/a	7.60475651189128	n/a	n/a	n/a	ShowChoice	Gain
38.85	1.0	0.029	160.416	3.0	1	6.7	-0.45	10.4625	955.0	1.82	Outcome2	-0.9	6.7	2.868	Yes	n/a	7.60475651189128	n/a	n/a	n/a	ShowResult	Gain
