onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-35.59	-0.001	0.02	33.492	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	2.393	-33.197	n/a	Welcome	n/a
-33.166	5.0	0.031	35.916	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-28.134	2.714	0.032	40.948	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	620.0	LifeHappiness	n/a
-28.134	1.079	n/a	42.583	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	620.0	LifeHappinessSliderResponse	n/a
-16.399	4.0	0.031	52.683	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-12.387	0.993	0.012	56.695	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2{-2}	n/a	0.993	-11.394	584.0	BlockStartHappiness	n/a
-12.387	0.29	n/a	57.398	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	584.0	BlockStartHappinessSliderResponse	n/a
-3.611	-0.001	0.019	65.471	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	3.587	-0.024	n/a	ScanWait	n/a
0.0	10.0	0.024	69.082	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	79.112	1.0	1	5.7	2.0	10.7125	955.0	3.16	Outcome2	-0.6	5.7	0.0	No	2.0	6.30237825594564	1.387	11.417	n/a	GetAnswer	Gain
11.434	4.0	0.017	80.516	1.0	1	5.7	2.0	10.7125	955.0	3.16	Outcome2	-0.6	5.7	0.0	No	n/a	6.30237825594564	n/a	n/a	n/a	ShowChoice	Gain
15.446	1.0	0.012	84.528	1.0	1	5.7	2.0	10.7125	955.0	3.16	Outcome2	-0.6	5.7	0.0	No	n/a	6.30237825594564	n/a	n/a	n/a	ShowResult	Gain
16.466	2.431	0.02	85.548	1.0	1	5.7	2.0	10.7125	955.0	3.16	Outcome2	-0.6	5.7	0.0	No	n/a	6.30237825594564	n/a	n/a	n/a	ISITrial	Gain
18.923	3.0	0.026	88.005	2.0	1	11.76	5.88	12.1825	955.0	2.48	Outcome2	13.3	11.76	0.0	No	2.0	-1.54058135145338	1.238	20.161	n/a	GetAnswer	Loss
20.177	4.0	0.016	89.259	2.0	1	11.76	5.88	12.1825	955.0	2.48	Outcome2	13.3	11.76	0.0	No	n/a	-1.54058135145338	n/a	n/a	n/a	ShowChoice	Loss
24.189	1.0	0.012	93.271	2.0	1	11.76	5.88	12.1825	955.0	2.48	Outcome2	13.3	11.76	0.0	No	n/a	-1.54058135145338	n/a	n/a	n/a	ShowResult	Loss
25.209	4.568	0.02	94.291	2.0	1	11.76	5.88	12.1825	955.0	2.48	Outcome2	13.3	11.76	0.0	No	n/a	-1.54058135145338	n/a	n/a	n/a	ISITrial	Loss
29.806	3.0	0.029	98.888	3.0	1	-5.0	-5.0	11.5575	955.0	0.2	Certain	-8.64	-1.5	2.868	Yes	4.0	7.14269535673839	2.304	32.11	n/a	GetAnswer	Mixed
32.13	4.0	0.02	101.212	3.0	1	-5.0	-5.0	11.5575	955.0	0.2	Certain	-8.64	-1.5	2.868	Yes	n/a	7.14269535673839	n/a	n/a	n/a	ShowChoice	Mixed
36.158	1.0	0.028	105.24	3.0	1	-5.0	-5.0	11.5575	955.0	0.2	Certain	-8.64	-1.5	2.868	Yes	n/a	7.14269535673839	n/a	n/a	n/a	ShowResult	Mixed
