onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-47.102	-0.001	0.019	14.828	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.191	-43.911	n/a	Welcome	n/a
-43.885	5.0	0.026	18.045	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-38.853	2.09	0.032	23.077	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	592.0	LifeHappiness	n/a
-38.853	1.467	n/a	23.7	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	592.0	LifeHappinessSliderResponse	n/a
-32.422	4.0	0.017	29.508	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-28.407	0.409	0.015	33.523	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	532.0	BlockStartHappiness	n/a
-28.406	0.102	n/a	33.831	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	532.0	BlockStartHappinessSliderResponse	n/a
-2.599	-0.001	0.017	59.331	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	2.586	-0.013	n/a	ScanWait	n/a
0.0	10.0	0.013	61.93	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	71.96	1.0	1	0.0	0.0	10.0	955.0	0.4	Certain	2.9	-4.29	0.0	No	4.0	7.18573046432616	0.95	10.98	n/a	GetAnswer	Mixed
10.996	4.0	0.016	72.926	1.0	1	0.0	0.0	10.0	955.0	0.4	Certain	2.9	-4.29	0.0	No	n/a	7.18573046432616	n/a	n/a	n/a	ShowChoice	Mixed
15.011	1.0	0.015	76.941	1.0	1	0.0	0.0	10.0	955.0	0.4	Certain	2.9	-4.29	0.0	No	n/a	7.18573046432616	n/a	n/a	n/a	ShowResult	Mixed
16.028	2.431	0.017	77.958	1.0	1	0.0	0.0	10.0	955.0	0.4	Certain	2.9	-4.29	0.0	No	n/a	7.18573046432616	n/a	n/a	n/a	ISITrial	Mixed
18.477	3.0	0.018	80.407	2.0	1	-3.0	-3.0	9.625	955.0	0.2	Certain	0.5	-7.16	0.0	No	4.0	7.664779161947909	0.933	19.41	n/a	GetAnswer	Mixed
19.427	4.0	0.017	81.357	2.0	1	-3.0	-3.0	9.625	955.0	0.2	Certain	0.5	-7.16	0.0	No	n/a	7.664779161947909	n/a	n/a	n/a	ShowChoice	Mixed
23.442	1.0	0.015	85.372	2.0	1	-3.0	-3.0	9.625	955.0	0.2	Certain	0.5	-7.16	0.0	No	n/a	7.664779161947909	n/a	n/a	n/a	ShowResult	Mixed
24.458	4.568	0.016	86.388	2.0	1	-3.0	-3.0	9.625	955.0	0.2	Certain	0.5	-7.16	0.0	No	n/a	7.664779161947909	n/a	n/a	n/a	ISITrial	Mixed
29.057	3.0	0.031	90.987	3.0	1	3.3	1.65	10.0375	955.0	2.22	Outcome2	5.1	3.3	2.868	Yes	2.0	-1.79643261608154	0.911	29.968	n/a	GetAnswer	Gain
29.99	4.0	0.022	91.92	3.0	1	3.3	1.65	10.0375	955.0	2.22	Outcome2	5.1	3.3	2.868	Yes	n/a	-1.79643261608154	n/a	n/a	n/a	ShowChoice	Gain
34.005	1.0	0.015	95.935	3.0	1	3.3	1.65	10.0375	955.0	2.22	Outcome2	5.1	3.3	2.868	Yes	n/a	-1.79643261608154	n/a	n/a	n/a	ShowResult	Gain
35.021	3.243	0.016	96.951	3.0	1	3.3	1.65	10.0375	955.0	2.22	Outcome2	5.1	3.3	2.868	Yes	n/a	-1.79643261608154	n/a	n/a	n/a	ISITrial	Gain
