onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-31.193	-0.001	0.022	11.397	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	2.467	-28.726	n/a	Welcome	n/a
-28.702	5.0	0.024	13.888	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-23.671	2.932	0.031	18.919	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	824.0	LifeHappiness	n/a
-23.67	2.057	n/a	19.795	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	824.0	LifeHappinessSliderResponse	n/a
-15.413	4.0	0.024	27.177	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-11.401	1.863	0.012	31.189	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2{-2}2{-2}2{-2}	n/a	1.863	-9.538	672.0	BlockStartHappiness	n/a
-11.4	1.476	n/a	31.577	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	672.0	BlockStartHappinessSliderResponse	n/a
-0.034	-0.001	0.021	42.556	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	0.022	-0.012	n/a	ScanWait	n/a
0.0	10.0	0.012	42.59	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	52.62	1.0	1	-2.0	-2.0	9.75	955.0	1.5	Certain	0.1	-4.71	0.0	No	4.0	4.8074745186863	2.74	12.77	n/a	GetAnswer	Mixed
12.788	4.0	0.018	55.378	1.0	1	-2.0	-2.0	9.75	955.0	1.5	Certain	0.1	-4.71	0.0	No	n/a	4.8074745186863	n/a	n/a	n/a	ShowChoice	Mixed
16.817	1.0	0.029	59.407	1.0	1	-2.0	-2.0	9.75	955.0	1.5	Certain	0.1	-4.71	0.0	No	n/a	4.8074745186863	n/a	n/a	n/a	ShowResult	Mixed
