onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-35.657	-0.001	0.021	9.225	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.325	-32.332	n/a	Welcome	n/a
-32.313	5.0	0.019	12.569	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-27.282	1.296	0.031	17.6	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	672.0	LifeHappiness	n/a
-27.281	0.91	n/a	17.987	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	672.0	LifeHappinessSliderResponse	n/a
-12.471	4.0	0.021	32.411	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-8.459	0.793	0.012	36.423	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	688.0	BlockStartHappiness	n/a
-8.458	0.516	n/a	36.701	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	688.0	BlockStartHappinessSliderResponse	n/a
-2.106	-0.001	0.019	42.776	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	2.088	-0.018	n/a	ScanWait	n/a
0.0	10.0	0.018	44.882	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	54.912	1.0	1	4.82	2.41	10.6025	955.0	3.6	Outcome1	4.82	5.9	0.0	No	2.0	-1.08352208380521	0.849	10.879	n/a	GetAnswer	Gain
10.899	4.0	0.02	55.781	1.0	1	4.82	2.41	10.6025	955.0	3.6	Outcome1	4.82	5.9	0.0	No	n/a	-1.08352208380521	n/a	n/a	n/a	ShowChoice	Gain
14.911	1.0	0.012	59.793	1.0	1	4.82	2.41	10.6025	955.0	3.6	Outcome1	4.82	5.9	0.0	No	n/a	-1.08352208380521	n/a	n/a	n/a	ShowResult	Gain
15.931	2.431	0.02	60.813	1.0	1	4.82	2.41	10.6025	955.0	3.6	Outcome1	4.82	5.9	0.0	No	n/a	-1.08352208380521	n/a	n/a	n/a	ISITrial	Gain
18.389	3.0	0.027	63.271	2.0	1	2.3	0.0	10.89	955.0	2.0	Outcome1	2.3	-2.54	0.0	No	2.0	4.83805209513024	0.713	19.102	n/a	GetAnswer	Mixed
19.124	4.0	0.022	64.006	2.0	1	2.3	0.0	10.89	955.0	2.0	Outcome1	2.3	-2.54	0.0	No	n/a	4.83805209513024	n/a	n/a	n/a	ShowChoice	Mixed
23.136	1.0	0.012	68.018	2.0	1	2.3	0.0	10.89	955.0	2.0	Outcome1	2.3	-2.54	0.0	No	n/a	4.83805209513024	n/a	n/a	n/a	ShowResult	Mixed
24.156	4.568	0.02	69.038	2.0	1	2.3	0.0	10.89	955.0	2.0	Outcome1	2.3	-2.54	0.0	No	n/a	4.83805209513024	n/a	n/a	n/a	ISITrial	Mixed
28.753	3.0	0.029	73.635	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	2.0	5.14043035107588	0.828	29.581	n/a	GetAnswer	Gain
29.605	4.0	0.024	74.487	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	n/a	5.14043035107588	n/a	n/a	n/a	ShowChoice	Gain
33.617	1.0	0.012	78.499	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	n/a	5.14043035107588	n/a	n/a	n/a	ShowResult	Gain
34.637	3.243	0.02	79.519	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	n/a	5.14043035107588	n/a	n/a	n/a	ISITrial	Gain
37.897	2.868	0.017	82.779	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	n/a	5.14043035107588	n/a	n/a	n/a	TrialHappPreview	Gain
40.789	4.012	0.024	85.671	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	n/a	5.14043035107588	n/a	n/a	768.0	TrialHappiness	Gain
40.79	0.684	n/a	86.214	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	n/a	5.14043035107588	n/a	n/a	768.0	TrialHappinessSliderResponse	Gain
44.801	3.472	4.012	89.683	3.0	1	5.5	0.18	11.5775	955.0	2.8	Outcome2	0.36	5.5	2.868	Yes	n/a	5.14043035107588	n/a	n/a	n/a	ISIRate	Gain
48.295	3.0	0.022	93.177	4.0	1	4.3	2.0	12.115	955.0	2.0	Outcome1	4.3	0.22	0.0	No	2.0	4.08380520951302	0.689	48.984	n/a	GetAnswer	Mixed
49.014	4.0	0.03	93.896	4.0	1	4.3	2.0	12.115	955.0	2.0	Outcome1	4.3	0.22	0.0	No	n/a	4.08380520951302	n/a	n/a	n/a	ShowChoice	Mixed
53.026	1.0	0.012	97.908	4.0	1	4.3	2.0	12.115	955.0	2.0	Outcome1	4.3	0.22	0.0	No	n/a	4.08380520951302	n/a	n/a	n/a	ShowResult	Mixed
54.045	2.011	0.019	98.927	4.0	1	4.3	2.0	12.115	955.0	2.0	Outcome1	4.3	0.22	0.0	No	n/a	4.08380520951302	n/a	n/a	n/a	ISITrial	Mixed
56.085	3.0	0.029	100.967	5.0	1	10.3	3.0	13.4025	955.0	5.0	Outcome1	10.3	6.0	2.5825	Yes	2.0	4.2955832389581	0.818	56.903	n/a	GetAnswer	Gain
56.921	4.0	0.018	101.803	5.0	1	10.3	3.0	13.4025	955.0	5.0	Outcome1	10.3	6.0	2.5825	Yes	n/a	4.2955832389581	n/a	n/a	n/a	ShowChoice	Gain
60.933	1.0	0.012	105.815	5.0	1	10.3	3.0	13.4025	955.0	5.0	Outcome1	10.3	6.0	2.5825	Yes	n/a	4.2955832389581	n/a	n/a	n/a	ShowResult	Gain
