onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-42.544	-0.001	0.021	23.063	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.578	-38.966	n/a	Welcome	n/a
-38.95	5.0	0.015	26.657	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-33.935	4.849	0.015	31.672	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	712.0	LifeHappiness	n/a
-33.934	4.336	n/a	32.186	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	712.0	LifeHappinessSliderResponse	n/a
-13.774	4.0	0.024	51.833	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-9.762	1.008	0.012	55.845	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	656.0	BlockStartHappiness	n/a
-9.762	0.442	n/a	56.411	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	656.0	BlockStartHappinessSliderResponse	n/a
-2.056	-0.001	0.014	63.551	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	2.035	-0.021	n/a	ScanWait	n/a
0.0	10.0	0.021	65.607	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.013	3.0	0.013	75.62	1.0	1	8.1	1.51	11.0125	955.0	4.2	Outcome1	8.1	3.02	0.0	No	2.0	5.0792751981879904	1.344	11.357	n/a	GetAnswer	Gain
11.384	4.0	0.027	76.991	1.0	1	8.1	1.51	11.0125	955.0	4.2	Outcome1	8.1	3.02	0.0	No	n/a	5.0792751981879904	n/a	n/a	n/a	ShowChoice	Gain
15.396	1.0	0.012	81.003	1.0	1	8.1	1.51	11.0125	955.0	4.2	Outcome1	8.1	3.02	0.0	No	n/a	5.0792751981879904	n/a	n/a	n/a	ShowResult	Gain
16.416	2.431	0.02	82.023	1.0	1	8.1	1.51	11.0125	955.0	4.2	Outcome1	8.1	3.02	0.0	No	n/a	5.0792751981879904	n/a	n/a	n/a	ISITrial	Gain
18.873	3.0	0.026	84.48	2.0	1	3.86	1.93	11.495	955.0	2.22	Outcome2	5.1	3.86	0.0	No	2.0	-1.24160060400151	1.175	20.048	n/a	GetAnswer	Gain
