onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-45.284	-0.001	0.038	10.302	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.28	-42.004	n/a	Welcome	n/a
-41.985	5.0	0.019	13.601	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-36.953	2.907	0.032	18.633	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	744.0	LifeHappiness	n/a
-36.953	2.279	n/a	19.261	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	744.0	LifeHappinessSliderResponse	n/a
-14.695	4.0	0.029	40.891	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-10.679	2.328	0.016	44.907	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	712.0	BlockStartHappiness	n/a
-10.679	1.848	n/a	45.387	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	712.0	BlockStartHappinessSliderResponse	n/a
-3.449	-0.001	0.028	52.137	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	3.429	-0.02	n/a	ScanWait	n/a
0.0	10.0	0.02	55.586	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	65.616	1.0	1	7.3	1.58	10.9125	955.0	2.48	Outcome2	3.17	7.3	0.0	No	2.0	4.127972819932049	1.134	11.164	n/a	GetAnswer	Gain
11.18	4.0	0.016	66.766	1.0	1	7.3	1.58	10.9125	955.0	2.48	Outcome2	3.17	7.3	0.0	No	n/a	4.127972819932049	n/a	n/a	n/a	ShowChoice	Gain
15.195	1.0	0.015	70.781	1.0	1	7.3	1.58	10.9125	955.0	2.48	Outcome2	3.17	7.3	0.0	No	n/a	4.127972819932049	n/a	n/a	n/a	ShowResult	Gain
