onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-63.456	-0.001	0.039	17.136	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.719	-59.737	n/a	Welcome	n/a
-59.712	5.0	0.025	20.88	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-54.68	3.92	0.032	25.912	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	840.0	LifeHappiness	n/a
-54.679	3.279	n/a	26.554	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	840.0	LifeHappinessSliderResponse	n/a
-39.869	4.0	0.028	40.723	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-35.857	0.0	0.012	44.735	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	512.0	BlockStartHappiness	n/a
-35.856	0.0	n/a	44.736	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	512.0	BlockStartHappinessSliderResponse	n/a
-2.691	-0.001	0.023	77.901	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	2.678	-0.013	n/a	ScanWait	n/a
0.0	10.0	0.013	80.592	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	90.622	1.0	1	5.9	2.95	10.7375	955.0	3.16	Outcome2	7.7	5.9	0.0	No	2.0	-1.79775386938467	1.24	11.27	n/a	GetAnswer	Gain
11.301	4.0	0.031	91.893	1.0	1	5.9	2.95	10.7375	955.0	3.16	Outcome2	7.7	5.9	0.0	No	n/a	-1.79775386938467	n/a	n/a	n/a	ShowChoice	Gain
15.329	1.0	0.028	95.921	1.0	1	5.9	2.95	10.7375	955.0	3.16	Outcome2	7.7	5.9	0.0	No	n/a	-1.79775386938467	n/a	n/a	n/a	ShowResult	Gain
16.349	2.431	0.02	96.941	1.0	1	5.9	2.95	10.7375	955.0	3.16	Outcome2	7.7	5.9	0.0	No	n/a	-1.79775386938467	n/a	n/a	n/a	ISITrial	Gain
18.806	3.0	0.026	99.398	2.0	1	13.3	2.64	12.4	955.0	2.48	Outcome1	13.3	5.27	0.0	No	2.0	8.02718006795017	1.255	20.061	n/a	GetAnswer	Loss
20.077	4.0	0.016	100.669	2.0	1	13.3	2.64	12.4	955.0	2.48	Outcome1	13.3	5.27	0.0	No	n/a	8.02718006795017	n/a	n/a	n/a	ShowChoice	Loss
24.106	1.0	0.029	104.698	2.0	1	13.3	2.64	12.4	955.0	2.48	Outcome1	13.3	5.27	0.0	No	n/a	8.02718006795017	n/a	n/a	n/a	ShowResult	Loss
25.125	4.568	0.019	105.717	2.0	1	13.3	2.64	12.4	955.0	2.48	Outcome1	13.3	5.27	0.0	No	n/a	8.02718006795017	n/a	n/a	n/a	ISITrial	Loss
29.722	3.0	0.029	110.314	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	2.0	8.52887882219705	2.089	31.811	n/a	GetAnswer	Gain
31.829	4.0	0.018	112.421	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ShowChoice	Gain
35.857	1.0	0.028	116.449	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ShowResult	Gain
36.877	3.243	0.02	117.469	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ISITrial	Gain
40.137	2.868	0.017	120.729	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	TrialHappPreview	Gain
43.029	4.029	0.024	123.621	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	n/a	8.52887882219705	n/a	n/a	624.0	TrialHappiness	Gain
43.029	2.088	n/a	124.064	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	n/a	8.52887882219705	n/a	n/a	624.0	TrialHappinessSliderResponse	Gain
47.058	3.472	4.029	127.65	3.0	1	5.9	1.0	13.1375	955.0	3.6	Outcome2	-2.63	5.9	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ISIRate	Gain
50.551	3.0	0.021	131.143	4.0	1	11.7	2.28	14.6	955.0	3.16	Outcome2	4.57	11.7	0.0	No	2.0	7.127972819932049	1.304	51.855	n/a	GetAnswer	Loss
51.872	4.0	0.017	132.464	4.0	1	11.7	2.28	14.6	955.0	3.16	Outcome2	4.57	11.7	0.0	No	n/a	7.127972819932049	n/a	n/a	n/a	ShowChoice	Loss
55.901	1.0	0.029	136.493	4.0	1	11.7	2.28	14.6	955.0	3.16	Outcome2	4.57	11.7	0.0	No	n/a	7.127972819932049	n/a	n/a	n/a	ShowResult	Loss
56.92	2.011	0.019	137.512	4.0	1	11.7	2.28	14.6	955.0	3.16	Outcome2	4.57	11.7	0.0	No	n/a	7.127972819932049	n/a	n/a	n/a	ISITrial	Loss
58.96	3.0	0.029	139.552	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	4.0	7.50283125707814	2.038	60.998	n/a	GetAnswer	Mixed
61.016	4.0	0.018	141.608	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	n/a	7.50283125707814	n/a	n/a	n/a	ShowChoice	Mixed
65.045	1.0	0.029	145.637	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	n/a	7.50283125707814	n/a	n/a	n/a	ShowResult	Mixed
66.064	5.129	0.019	146.656	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	n/a	7.50283125707814	n/a	n/a	n/a	ISITrial	Mixed
71.213	2.582	0.02	151.805	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	n/a	7.50283125707814	n/a	n/a	n/a	TrialHappPreview	Mixed
73.821	4.029	0.026	154.413	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	n/a	7.50283125707814	n/a	n/a	552.0	TrialHappiness	Mixed
73.821	0.985	n/a	155.675	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	n/a	7.50283125707814	n/a	n/a	552.0	TrialHappinessSliderResponse	Mixed
77.85	2.33	4.029	158.442	5.0	1	-3.0	-3.0	14.225	955.0	2.0	Certain	0.3	-7.2	2.5825	Yes	n/a	7.50283125707814	n/a	n/a	n/a	ISIRate	Mixed
80.207	3.0	0.027	160.799	6.0	1	12.1	1.5	15.7375	955.0	4.2	Outcome1	12.1	3.0	0.0	No	2.0	9.10079275198188	0.963	81.17	n/a	GetAnswer	Loss
81.193	4.0	0.023	161.785	6.0	1	12.1	1.5	15.7375	955.0	4.2	Outcome1	12.1	3.0	0.0	No	n/a	9.10079275198188	n/a	n/a	n/a	ShowChoice	Loss
85.222	1.0	0.029	165.814	6.0	1	12.1	1.5	15.7375	955.0	4.2	Outcome1	12.1	3.0	0.0	No	n/a	9.10079275198188	n/a	n/a	n/a	ShowResult	Loss
86.241	6.232	0.019	166.833	6.0	1	12.1	1.5	15.7375	955.0	4.2	Outcome1	12.1	3.0	0.0	No	n/a	9.10079275198188	n/a	n/a	n/a	ISITrial	Loss
92.493	3.0	0.02	173.085	7.0	1	0.0	0.0	15.7375	955.0	0.4	Certain	-0.96	0.9	0.0	No	4.0	-1.86136277840695	2.051	94.544	n/a	GetAnswer	Mixed
94.566	4.0	0.021	175.158	7.0	1	0.0	0.0	15.7375	955.0	0.4	Certain	-0.96	0.9	0.0	No	n/a	-1.86136277840695	n/a	n/a	n/a	ShowChoice	Mixed
98.578	1.0	0.012	179.17	7.0	1	0.0	0.0	15.7375	955.0	0.4	Certain	-0.96	0.9	0.0	No	n/a	-1.86136277840695	n/a	n/a	n/a	ShowResult	Mixed
99.598	2.305	0.02	180.19	7.0	1	0.0	0.0	15.7375	955.0	0.4	Certain	-0.96	0.9	0.0	No	n/a	-1.86136277840695	n/a	n/a	n/a	ISITrial	Mixed
101.922	3.0	0.019	182.514	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	2.0	10.0135900339751	1.816	103.738	n/a	GetAnswer	Gain
103.76	4.0	0.022	184.352	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	n/a	10.0135900339751	n/a	n/a	n/a	ShowChoice	Gain
107.772	1.0	0.012	188.364	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	n/a	10.0135900339751	n/a	n/a	n/a	ShowResult	Gain
108.792	3.506	0.02	189.384	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	n/a	10.0135900339751	n/a	n/a	n/a	ISITrial	Gain
112.319	3.112	0.021	192.911	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	n/a	10.0135900339751	n/a	n/a	n/a	TrialHappPreview	Gain
115.462	4.029	0.031	196.054	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	n/a	10.0135900339751	n/a	n/a	672.0	TrialHappiness	Gain
115.463	2.195	n/a	196.441	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	n/a	10.0135900339751	n/a	n/a	672.0	TrialHappinessSliderResponse	Gain
119.491	4.45	4.029	200.083	8.0	1	9.9	-0.06	16.975	955.0	3.6	Outcome2	-0.11	9.9	3.1125	Yes	n/a	10.0135900339751	n/a	n/a	n/a	ISIRate	Gain
123.971	3.0	0.03	204.563	9.0	1	0.0	0.0	16.975	955.0	2.0	Certain	4.3	-4.13	0.0	No	4.0	8.431483578708951	1.589	125.56	n/a	GetAnswer	Mixed
125.576	4.0	0.016	206.168	9.0	1	0.0	0.0	16.975	955.0	2.0	Certain	4.3	-4.13	0.0	No	n/a	8.431483578708951	n/a	n/a	n/a	ShowChoice	Mixed
129.604	1.0	0.028	210.196	9.0	1	0.0	0.0	16.975	955.0	2.0	Certain	4.3	-4.13	0.0	No	n/a	8.431483578708951	n/a	n/a	n/a	ShowResult	Mixed
130.624	2.0	0.02	211.216	9.0	1	0.0	0.0	16.975	955.0	2.0	Certain	4.3	-4.13	0.0	No	n/a	8.431483578708951	n/a	n/a	n/a	ISITrial	Mixed
132.647	3.0	0.023	213.239	10.0	1	2.3	-2.0	17.2625	955.0	2.0	Outcome1	2.3	-6.45	4.0	Yes	n/a	8.7519818799547	n/a	n/a	n/a	GetAnswer	Mixed
135.672	4.0	0.025	216.264	10.0	1	2.3	-2.0	17.2625	955.0	2.0	Outcome1	2.3	-6.45	4.0	Yes	n/a	8.7519818799547	n/a	n/a	n/a	ShowChoice	Mixed
139.684	1.0	0.012	220.276	10.0	1	2.3	-2.0	17.2625	955.0	2.0	Outcome1	2.3	-6.45	4.0	Yes	n/a	8.7519818799547	n/a	n/a	n/a	ShowResult	Mixed
140.704	2.0	0.02	221.296	10.0	1	2.3	-2.0	17.2625	955.0	2.0	Outcome1	2.3	-6.45	4.0	Yes	n/a	8.7519818799547	n/a	n/a	n/a	ISITrial	Mixed
142.727	4.0	0.023	223.319	10.0	1	2.3	-2.0	17.2625	955.0	2.0	Outcome1	2.3	-6.45	4.0	Yes	n/a	8.7519818799547	n/a	n/a	n/a	TrialHappPreview	Mixed
146.756	4.028	0.029	227.348	10.0	1	2.3	-2.0	17.2625	955.0	2.0	Outcome1	2.3	-6.45	4.0	Yes	n/a	8.7519818799547	n/a	n/a	672.0	TrialHappiness	Mixed
