onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-47.626	-0.001	0.034	28.483	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	4.065	-43.561	n/a	Welcome	n/a
-43.53	5.0	0.031	32.579	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-38.499	3.283	0.031	37.61	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappiness	n/a
-38.498	2.641	n/a	38.253	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappinessSliderResponse	n/a
-19.993	4.0	0.017	56.116	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-15.982	2.005	0.011	60.127	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	848.0	BlockStartHappiness	n/a
-15.981	1.602	n/a	60.531	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	848.0	BlockStartHappinessSliderResponse	n/a
-8.793	-0.001	0.017	67.316	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	8.772	-0.021	n/a	ScanWait	n/a
0.0	10.0	0.021	76.109	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	86.139	1.0	1	5.5	1.84	10.6875	955.0	2.8	Outcome1	5.5	3.68	0.0	No	2.0	1.8176670441676104	0.973	11.003	n/a	GetAnswer	Gain
11.033	4.0	0.029	87.142	1.0	1	5.5	1.84	10.6875	955.0	2.8	Outcome1	5.5	3.68	0.0	No	n/a	1.8176670441676104	n/a	n/a	n/a	ShowChoice	Gain
15.061	1.0	0.028	91.17	1.0	1	5.5	1.84	10.6875	955.0	2.8	Outcome1	5.5	3.68	0.0	No	n/a	1.8176670441676104	n/a	n/a	n/a	ShowResult	Gain
16.081	2.431	0.02	92.19	1.0	1	5.5	1.84	10.6875	955.0	2.8	Outcome1	5.5	3.68	0.0	No	n/a	1.8176670441676104	n/a	n/a	n/a	ISITrial	Gain
18.538	3.0	0.026	94.647	2.0	1	4.9	1.48	11.3	955.0	2.0	Outcome2	2.96	4.9	0.0	No	2.0	1.93884484711212	0.994	19.532	n/a	GetAnswer	Gain
19.558	4.0	0.026	95.667	2.0	1	4.9	1.48	11.3	955.0	2.0	Outcome2	2.96	4.9	0.0	No	n/a	1.93884484711212	n/a	n/a	n/a	ShowChoice	Gain
23.57	1.0	0.012	99.679	2.0	1	4.9	1.48	11.3	955.0	2.0	Outcome2	2.96	4.9	0.0	No	n/a	1.93884484711212	n/a	n/a	n/a	ShowResult	Gain
24.59	4.568	0.02	100.699	2.0	1	4.9	1.48	11.3	955.0	2.0	Outcome2	2.96	4.9	0.0	No	n/a	1.93884484711212	n/a	n/a	n/a	ISITrial	Gain
29.187	3.0	0.029	105.296	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	2.0	2.06002265005663	1.055	30.242	n/a	GetAnswer	Gain
30.257	4.0	0.015	106.366	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	n/a	2.06002265005663	n/a	n/a	n/a	ShowChoice	Gain
34.285	1.0	0.028	110.394	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	n/a	2.06002265005663	n/a	n/a	n/a	ShowResult	Gain
35.305	3.243	0.02	111.414	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	n/a	2.06002265005663	n/a	n/a	n/a	ISITrial	Gain
38.565	2.868	0.017	114.674	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	n/a	2.06002265005663	n/a	n/a	n/a	TrialHappPreview	Gain
41.457	4.028	0.024	117.566	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	n/a	2.06002265005663	n/a	n/a	872.0	TrialHappiness	Gain
41.457	3.505	n/a	117.924	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	n/a	2.06002265005663	n/a	n/a	872.0	TrialHappinessSliderResponse	Gain
45.485	3.472	4.028	121.594	3.0	1	6.7	2.32	12.1375	955.0	1.82	Outcome1	6.7	4.64	2.868	Yes	n/a	2.06002265005663	n/a	n/a	n/a	ISIRate	Gain
48.979	3.0	0.022	125.088	4.0	1	8.7	3.46	13.225	955.0	1.82	Outcome2	6.93	8.7	0.0	No	2.0	1.7734994337485803	1.124	50.103	n/a	GetAnswer	Gain
50.133	4.0	0.03	126.242	4.0	1	8.7	3.46	13.225	955.0	1.82	Outcome2	6.93	8.7	0.0	No	n/a	1.7734994337485803	n/a	n/a	n/a	ShowChoice	Gain
54.161	1.0	0.028	130.27	4.0	1	8.7	3.46	13.225	955.0	1.82	Outcome2	6.93	8.7	0.0	No	n/a	1.7734994337485803	n/a	n/a	n/a	ShowResult	Gain
55.181	2.011	0.02	131.29	4.0	1	8.7	3.46	13.225	955.0	1.82	Outcome2	6.93	8.7	0.0	No	n/a	1.7734994337485803	n/a	n/a	n/a	ISITrial	Gain
57.22	3.0	0.028	133.329	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	2.0	1.86749716874292	1.153	58.373	n/a	GetAnswer	Loss
58.391	4.0	0.018	134.5	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	n/a	1.86749716874292	n/a	n/a	n/a	ShowChoice	Loss
62.419	1.0	0.028	138.528	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	n/a	1.86749716874292	n/a	n/a	n/a	ShowResult	Loss
63.439	5.129	0.02	139.548	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	n/a	1.86749716874292	n/a	n/a	n/a	ISITrial	Loss
68.588	2.582	0.02	144.697	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	n/a	1.86749716874292	n/a	n/a	n/a	TrialHappPreview	Loss
71.196	4.028	0.026	147.305	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	n/a	1.86749716874292	n/a	n/a	864.0	TrialHappiness	Loss
71.196	2.813	n/a	147.658	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	n/a	1.86749716874292	n/a	n/a	864.0	TrialHappinessSliderResponse	Loss
75.224	2.33	4.028	151.333	5.0	1	13.5	5.82	14.9125	955.0	2.8	Outcome2	11.63	13.5	2.5825	Yes	n/a	1.86749716874292	n/a	n/a	n/a	ISIRate	Loss
77.581	3.0	0.027	153.69	6.0	1	9.1	3.5	16.05	955.0	2.22	Outcome1	9.1	7.0	0.0	No	2.0	2.09739524348811	1.025	78.606	n/a	GetAnswer	Gain
78.634	4.0	0.028	154.743	6.0	1	9.1	3.5	16.05	955.0	2.22	Outcome1	9.1	7.0	0.0	No	n/a	2.09739524348811	n/a	n/a	n/a	ShowChoice	Gain
