onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-25.827	-0.001	0.021	26.231	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.336	-22.491	n/a	Welcome	n/a
-22.467	5.0	0.024	29.591	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-17.436	4.84	0.031	34.622	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2{-2}2{-2}4{-4}	n/a	4.84	-12.596	744.0	LifeHappiness	n/a
-17.435	4.065	n/a	35.398	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	744.0	LifeHappinessSliderResponse	n/a
-12.287	4.0	0.025	39.771	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-8.275	3.871	0.012	43.783	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	740.0	BlockStartHappiness	n/a
-8.274	3.097	n/a	44.558	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	740.0	BlockStartHappinessSliderResponse	n/a
-0.953	-0.001	0.019	51.105	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	0.929	-0.024	n/a	ScanWait	n/a
0.0	10.0	0.024	52.058	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	62.088	1.0	1	6.22	6.22	10.7775	955.0	2.48	Certain	12.43	13.3	0.0	No	4.0	-0.872499056247641	2.517	12.547	n/a	GetAnswer	Loss
12.571	4.0	0.024	64.629	1.0	1	6.22	6.22	10.7775	955.0	2.48	Certain	12.43	13.3	0.0	No	n/a	-0.872499056247641	n/a	n/a	n/a	ShowChoice	Loss
16.6	1.0	0.029	68.658	1.0	1	6.22	6.22	10.7775	955.0	2.48	Certain	12.43	13.3	0.0	No	n/a	-0.872499056247641	n/a	n/a	n/a	ShowResult	Loss
17.619	2.431	0.019	69.677	1.0	1	6.22	6.22	10.7775	955.0	2.48	Certain	12.43	13.3	0.0	No	n/a	-0.872499056247641	n/a	n/a	n/a	ISITrial	Loss
20.077	3.0	0.027	72.135	2.0	1	9.1	2.6	11.915	955.0	2.22	Outcome2	5.2	9.1	0.0	No	2.0	3.89580973952435	1.883	21.96	n/a	GetAnswer	Gain
21.982	4.0	0.022	74.04	2.0	1	9.1	2.6	11.915	955.0	2.22	Outcome2	5.2	9.1	0.0	No	n/a	3.89580973952435	n/a	n/a	n/a	ShowChoice	Gain
26.011	1.0	0.029	78.069	2.0	1	9.1	2.6	11.915	955.0	2.22	Outcome2	5.2	9.1	0.0	No	n/a	3.89580973952435	n/a	n/a	n/a	ShowResult	Gain
27.031	4.568	0.02	79.089	2.0	1	9.1	2.6	11.915	955.0	2.22	Outcome2	5.2	9.1	0.0	No	n/a	3.89580973952435	n/a	n/a	n/a	ISITrial	Gain
31.628	3.0	0.029	83.686	3.0	1	8.3	2.08	12.9525	955.0	5.0	Outcome1	8.3	4.16	2.868	Yes	2.0	4.13929784824462	1.889	33.517	n/a	GetAnswer	Gain
33.534	4.0	0.017	85.592	3.0	1	8.3	2.08	12.9525	955.0	5.0	Outcome1	8.3	4.16	2.868	Yes	n/a	4.13929784824462	n/a	n/a	n/a	ShowChoice	Gain
37.562	1.0	0.028	89.62	3.0	1	8.3	2.08	12.9525	955.0	5.0	Outcome1	8.3	4.16	2.868	Yes	n/a	4.13929784824462	n/a	n/a	n/a	ShowResult	Gain
38.582	3.243	0.02	90.64	3.0	1	8.3	2.08	12.9525	955.0	5.0	Outcome1	8.3	4.16	2.868	Yes	n/a	4.13929784824462	n/a	n/a	n/a	ISITrial	Gain
41.842	2.868	0.017	93.9	3.0	1	8.3	2.08	12.9525	955.0	5.0	Outcome1	8.3	4.16	2.868	Yes	n/a	4.13929784824462	n/a	n/a	n/a	TrialHappPreview	Gain
