onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-51.465	-0.001	0.038	29.143	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	10.112	-41.353	n/a	Welcome	n/a
-41.336	5.0	0.017	39.272	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-36.304	3.773	0.032	44.304	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	692.0	LifeHappiness	n/a
-36.303	2.852	n/a	45.226	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	692.0	LifeHappinessSliderResponse	n/a
-17.994	4.0	0.016	62.614	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-13.979	1.956	0.015	66.629	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	560.0	BlockStartHappiness	n/a
-13.978	0.631	n/a	67.955	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	560.0	BlockStartHappinessSliderResponse	n/a
-7.081	-0.001	0.017	73.527	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	7.06	-0.021	n/a	ScanWait	n/a
0.0	10.0	0.021	80.608	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.029	3.0	0.029	90.637	1.0	1	7.9	3.95	10.9875	955.0	2.8	Outcome2	9.5	7.9	0.0	No	2.0	-1.60296338240846	1.082	11.111	n/a	GetAnswer	Gain
11.129	4.0	0.018	91.737	1.0	1	7.9	3.95	10.9875	955.0	2.8	Outcome2	9.5	7.9	0.0	No	n/a	-1.60296338240846	n/a	n/a	n/a	ShowChoice	Gain
15.144	1.0	0.015	95.752	1.0	1	7.9	3.95	10.9875	955.0	2.8	Outcome2	9.5	7.9	0.0	No	n/a	-1.60296338240846	n/a	n/a	n/a	ShowResult	Gain
16.161	2.431	0.017	96.769	1.0	1	7.9	3.95	10.9875	955.0	2.8	Outcome2	9.5	7.9	0.0	No	n/a	-1.60296338240846	n/a	n/a	n/a	ISITrial	Gain
18.61	3.0	0.018	99.218	2.0	1	7.5	0.17	11.925	955.0	2.8	Outcome1	7.5	0.34	0.0	No	2.0	7.15741789354473	1.157	19.767	n/a	GetAnswer	Gain
19.793	4.0	0.026	100.401	2.0	1	7.5	0.17	11.925	955.0	2.8	Outcome1	7.5	0.34	0.0	No	n/a	7.15741789354473	n/a	n/a	n/a	ShowChoice	Gain
23.808	1.0	0.015	104.416	2.0	1	7.5	0.17	11.925	955.0	2.8	Outcome1	7.5	0.34	0.0	No	n/a	7.15741789354473	n/a	n/a	n/a	ShowResult	Gain
24.824	4.568	0.016	105.432	2.0	1	7.5	0.17	11.925	955.0	2.8	Outcome1	7.5	0.34	0.0	No	n/a	7.15741789354473	n/a	n/a	n/a	ISITrial	Gain
29.423	3.0	0.031	110.031	3.0	1	13.5	2.95	13.6125	955.0	2.8	Outcome1	13.5	5.9	2.868	Yes	2.0	7.60475651189128	0.938	30.361	n/a	GetAnswer	Loss
30.372	4.0	0.011	110.98	3.0	1	13.5	2.95	13.6125	955.0	2.8	Outcome1	13.5	5.9	2.868	Yes	n/a	7.60475651189128	n/a	n/a	n/a	ShowChoice	Loss
