onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-36.038	-0.001	0.029	11.055	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	1.301	-34.737	n/a	Welcome	n/a
-34.705	5.0	0.032	12.388	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-29.673	3.273	0.032	17.42	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	376.0	LifeHappiness	n/a
-29.672	0.614	n/a	20.08	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	376.0	LifeHappinessSliderResponse	n/a
-15.662	4.0	0.019	31.431	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-11.646	0.381	0.016	35.447	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	512.0	BlockStartHappiness	n/a
-11.646	0.0	n/a	35.828	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	512.0	BlockStartHappinessSliderResponse	n/a
-5.149	-0.001	0.02	41.944	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	5.126	-0.023	n/a	ScanWait	n/a
0.0	10.0	0.023	47.093	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	57.123	1.0	1	-2.0	-2.0	9.75	955.0	0.3	Certain	-1.3	-3.1	0.0	No	4.0	-1.79775386938467	1.553	11.583	n/a	GetAnswer	Mixed
11.612	4.0	0.029	58.705	1.0	1	-2.0	-2.0	9.75	955.0	0.3	Certain	-1.3	-3.1	0.0	No	n/a	-1.79775386938467	n/a	n/a	n/a	ShowChoice	Mixed
15.628	1.0	0.016	62.721	1.0	1	-2.0	-2.0	9.75	955.0	0.3	Certain	-1.3	-3.1	0.0	No	n/a	-1.79775386938467	n/a	n/a	n/a	ShowResult	Mixed
16.644	2.431	0.016	63.737	1.0	1	-2.0	-2.0	9.75	955.0	0.3	Certain	-1.3	-3.1	0.0	No	n/a	-1.79775386938467	n/a	n/a	n/a	ISITrial	Mixed
19.11	3.0	0.035	66.203	2.0	1	3.1	-1.0	10.1375	955.0	0.52	Outcome1	3.1	-4.93	0.0	No	2.0	8.02718006795017	1.728	20.838	n/a	GetAnswer	Mixed
20.859	4.0	0.021	67.952	2.0	1	3.1	-1.0	10.1375	955.0	0.52	Outcome1	3.1	-4.93	0.0	No	n/a	8.02718006795017	n/a	n/a	n/a	ShowChoice	Mixed
24.874	1.0	0.015	71.967	2.0	1	3.1	-1.0	10.1375	955.0	0.52	Outcome1	3.1	-4.93	0.0	No	n/a	8.02718006795017	n/a	n/a	n/a	ShowResult	Mixed
25.891	4.568	0.017	72.984	2.0	1	3.1	-1.0	10.1375	955.0	0.52	Outcome1	3.1	-4.93	0.0	No	n/a	8.02718006795017	n/a	n/a	n/a	ISITrial	Mixed
30.489	3.0	0.03	77.582	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	2.0	8.52887882219705	1.16	31.649	n/a	GetAnswer	Gain
31.672	4.0	0.023	78.765	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ShowChoice	Gain
35.687	1.0	0.015	82.78	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ShowResult	Gain
36.704	3.243	0.017	83.797	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ISITrial	Gain
39.969	2.868	0.022	87.062	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	TrialHappPreview	Gain
42.868	4.015	0.031	89.961	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	n/a	8.52887882219705	n/a	n/a	504.0	TrialHappiness	Gain
42.869	3.009	n/a	90.292	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	n/a	8.52887882219705	n/a	n/a	504.0	TrialHappinessSliderResponse	Gain
46.883	3.472	4.015	93.976	3.0	1	5.7	1.0	10.85	955.0	3.16	Outcome1	5.7	-2.83	2.868	Yes	n/a	8.52887882219705	n/a	n/a	n/a	ISIRate	Gain
50.382	3.0	0.027	97.475	4.0	1	10.7	0.76	12.1875	955.0	1.82	Outcome2	1.53	10.7	0.0	No	2.0	9.16647791619479	1.622	52.004	n/a	GetAnswer	Loss
52.032	4.0	0.028	99.125	4.0	1	10.7	0.76	12.1875	955.0	1.82	Outcome2	1.53	10.7	0.0	No	n/a	9.16647791619479	n/a	n/a	n/a	ShowChoice	Loss
56.047	1.0	0.015	103.14	4.0	1	10.7	0.76	12.1875	955.0	1.82	Outcome2	1.53	10.7	0.0	No	n/a	9.16647791619479	n/a	n/a	n/a	ShowResult	Loss
57.063	2.011	0.016	104.156	4.0	1	10.7	0.76	12.1875	955.0	1.82	Outcome2	1.53	10.7	0.0	No	n/a	9.16647791619479	n/a	n/a	n/a	ISITrial	Loss
59.096	3.0	0.022	106.189	5.0	1	2.0	2.0	12.4375	955.0	2.8	Certain	7.5	-2.18	2.5825	Yes	4.0	9.67723669309173	1.259	60.355	n/a	GetAnswer	Gain
60.379	4.0	0.024	107.472	5.0	1	2.0	2.0	12.4375	955.0	2.8	Certain	7.5	-2.18	2.5825	Yes	n/a	9.67723669309173	n/a	n/a	n/a	ShowChoice	Gain
64.394	1.0	0.015	111.487	5.0	1	2.0	2.0	12.4375	955.0	2.8	Certain	7.5	-2.18	2.5825	Yes	n/a	9.67723669309173	n/a	n/a	n/a	ShowResult	Gain
