onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-41.725	-0.001	0.021	25.875	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.846	-37.879	n/a	Welcome	n/a
-37.863	5.0	0.016	29.737	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-32.831	2.163	0.032	34.769	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	464.0	LifeHappiness	n/a
-32.831	1.199	n/a	35.733	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	464.0	LifeHappinessSliderResponse	n/a
-15.413	4.0	0.019	52.187	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-11.401	0.857	0.012	56.199	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	492.0	BlockStartHappiness	n/a
-11.4	0.133	n/a	56.924	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	492.0	BlockStartHappinessSliderResponse	n/a
-2.758	-0.001	0.018	64.842	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	2.739	-0.019	n/a	ScanWait	n/a
0.0	10.0	0.019	67.6	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.03	3.0	0.03	77.63	1.0	1	4.3	0.0	10.5375	955.0	2.0	Outcome2	-3.57	4.3	0.0	No	2.0	7.865232163080409	0.934	10.964	n/a	GetAnswer	Mixed
10.983	4.0	0.019	78.583	1.0	1	4.3	0.0	10.5375	955.0	2.0	Outcome2	-3.57	4.3	0.0	No	n/a	7.865232163080409	n/a	n/a	n/a	ShowChoice	Mixed
14.995	1.0	0.012	82.595	1.0	1	4.3	0.0	10.5375	955.0	2.0	Outcome2	-3.57	4.3	0.0	No	n/a	7.865232163080409	n/a	n/a	n/a	ShowResult	Mixed
16.015	2.431	0.02	83.615	1.0	1	4.3	0.0	10.5375	955.0	2.0	Outcome2	-3.57	4.3	0.0	No	n/a	7.865232163080409	n/a	n/a	n/a	ISITrial	Mixed
18.472	3.0	0.026	86.072	2.0	1	0.7	-3.0	10.625	955.0	0.3	Outcome2	-7.69	0.7	0.0	No	n/a	8.38958097395244	n/a	n/a	n/a	GetAnswer	Mixed
21.498	4.0	0.026	89.098	2.0	1	0.7	-3.0	10.625	955.0	0.3	Outcome2	-7.69	0.7	0.0	No	n/a	8.38958097395244	n/a	n/a	n/a	ShowChoice	Mixed
25.51	1.0	0.012	93.11	2.0	1	0.7	-3.0	10.625	955.0	0.3	Outcome2	-7.69	0.7	0.0	No	n/a	8.38958097395244	n/a	n/a	n/a	ShowResult	Mixed
26.529	4.568	0.019	94.129	2.0	1	0.7	-3.0	10.625	955.0	0.3	Outcome2	-7.69	0.7	0.0	No	n/a	8.38958097395244	n/a	n/a	n/a	ISITrial	Mixed
31.127	3.0	0.03	98.727	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	2.0	8.913929784824461	1.064	32.191	n/a	GetAnswer	Gain
32.213	4.0	0.022	99.813	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	n/a	8.913929784824461	n/a	n/a	n/a	ShowChoice	Gain
36.225	1.0	0.012	103.825	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	n/a	8.913929784824461	n/a	n/a	n/a	ShowResult	Gain
37.245	3.243	0.02	104.845	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	n/a	8.913929784824461	n/a	n/a	n/a	ISITrial	Gain
40.505	2.868	0.017	108.105	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	n/a	8.913929784824461	n/a	n/a	n/a	TrialHappPreview	Gain
43.397	4.012	0.024	110.997	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	2{-2}	8.913929784824461	0.731	44.128	532.0	TrialHappiness	Gain
43.397	0.147	n/a	111.581	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	n/a	8.913929784824461	n/a	n/a	532.0	TrialHappinessSliderResponse	Gain
47.409	3.472	4.012	115.009	3.0	1	8.9	0.0	11.7375	955.0	2.0	Outcome2	-0.01	8.9	2.868	Yes	n/a	8.913929784824461	n/a	n/a	n/a	ISIRate	Gain
50.902	3.0	0.021	118.502	4.0	1	-2.95	-2.0	11.3687	955.0	0.4	Outcome1	-2.95	-1.1	0.0	No	2.0	-1.84767836919592	2.037	52.939	n/a	GetAnswer	Mixed
52.959	4.0	0.02	120.559	4.0	1	-2.95	-2.0	11.3687	955.0	0.4	Outcome1	-2.95	-1.1	0.0	No	n/a	-1.84767836919592	n/a	n/a	n/a	ShowChoice	Mixed
56.971	1.0	0.012	124.571	4.0	1	-2.95	-2.0	11.3687	955.0	0.4	Outcome1	-2.95	-1.1	0.0	No	n/a	-1.84767836919592	n/a	n/a	n/a	ShowResult	Mixed
57.99	2.011	0.019	125.59	4.0	1	-2.95	-2.0	11.3687	955.0	0.4	Outcome1	-2.95	-1.1	0.0	No	n/a	-1.84767836919592	n/a	n/a	n/a	ISITrial	Mixed
60.03	3.0	0.029	127.63	5.0	1	0.0	0.0	11.3687	955.0	0.2	Certain	-1.39	0.5	2.5825	Yes	4.0	-1.88759909399774	1.481	61.511	n/a	GetAnswer	Mixed
61.534	4.0	0.023	129.134	5.0	1	0.0	0.0	11.3687	955.0	0.2	Certain	-1.39	0.5	2.5825	Yes	n/a	-1.88759909399774	n/a	n/a	n/a	ShowChoice	Mixed
65.546	1.0	0.012	133.146	5.0	1	0.0	0.0	11.3687	955.0	0.2	Certain	-1.39	0.5	2.5825	Yes	n/a	-1.88759909399774	n/a	n/a	n/a	ShowResult	Mixed
