onset	duration	onset_delay	onset_unadjusted	trial_number	block	amount_change	certain_amount	current_amount	mood_target	multiplier	outcome	outcome1_amount	outcome2_amount	question_duration	rating	response	rpe	rt	rt_time	slider_response	trial_phase	trial_type
-67.26	-0.001	0.039	32.759	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	{SPACE}	n/a	3.788	-63.472	n/a	Welcome	n/a
-63.445	5.0	0.026	36.574	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	LifeHappyPreview	n/a
-58.413	4.781	0.032	41.606	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappiness	n/a
-58.413	4.368	n/a	42.019	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	952.0	LifeHappinessSliderResponse	n/a
-42.069	4.0	0.021	57.95	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BlockHappyPreview	n/a
-38.054	1.406	0.015	61.965	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	680.0	BlockStartHappiness	n/a
-38.053	1.117	n/a	62.255	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	680.0	BlockStartHappinessSliderResponse	n/a
-5.398	-0.001	0.027	94.621	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5.0	n/a	5.381	-0.017	n/a	ScanWait	n/a
0.0	10.0	0.017	100.019	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GetReady	n/a
10.029	3.0	0.029	110.048	1.0	1	9.5	2.42	11.1875	955.0	2.8	Outcome2	4.83	9.5	0.0	No	2.0	4.67157417893545	1.157	11.186	n/a	GetAnswer	Gain
11.212	4.0	0.026	111.231	1.0	1	9.5	2.42	11.1875	955.0	2.8	Outcome2	4.83	9.5	0.0	No	n/a	4.67157417893545	n/a	n/a	n/a	ShowChoice	Gain
